//npcId - hitpoints attackAnim defenceAnim deathAnim attackDelay deathDelay respawnDelay maxHit attackStyle attackGfx attackProjectile agressivenessType
1 - 70 422 425 836 5 1 60 10 MELEE -1 -1 PASSIVE
//stage1
2 - 70 422 425 836 5 1 60 10 MELEE -1 -1 PASSIVE
//
3 - 70 422 425 836 5 1 60 10 MELEE -1 -1 PASSIVE
//stage2
4 - 93 422 425 836 5 1 60 15 MELEE -1 -1 PASSIVE
//
5 - 93 422 425 836 5 1 60 15 MELEE -1 -1 PASSIVE
//boss
6 - 93 422 425 836 5 1 60 15 MELEE -1 -1 PASSIVE
//Pest Control Knights
7 - 120 422 424 836 4 1 60 19 MELEE -1 -1 PASSIVE
//
8 - 160 422 424 836 4 1 60 20 MELEE -1 -1 PASSIVE
//
9 - 220 390 424 836 5 1 60 34 MELEE -1 -1 PASSIVE
//Dummies
13 - 140 422 424 836 4 1 60 40 MAGE -1 -1 PASSIVE
//Dung Bosses
16 - 70 422 425 836 5 1 60 10 MELEE -1 -1 PASSIVE
//
18 - 190 390 424 836 4 1 60 30 MELEE -1 -1 PASSIVE
//
19 - 530 7042 425 836 8 1 60 60 MELEE -1 -1 PASSIVE
//
20 - 660 390 424 836 5 1 60 89 MELEE -1 -1 PASSIVE
//Christmas Event
21 - 880 -1 -1 -1 4 1 60 91 MELEE -1 -1 PASSIVE
//
24 - 70 422 425 836 5 1 60 10 MELEE -1 -1 PASSIVE
//
25 - 93 422 425 836 5 1 60 15 MELEE -1 -1 PASSIVE
//Tree Spirit
32 - 220 -1 -1 -1 5 1 60 34 MELEE -1 -1 PASSIVE
//High Level Lesser Demon
38 - 100 -1 -1 -1 4 1 60 20 MELEE -1 -1 PASSIVE
//High Level Ice Giant
39 - 100 -1 -1 -1 4 1 60 20 MELEE -1 -1 PASSIVE
//High Level Hill giant
41 - 30 5387 5388 5389 5 1 60 15 MELEE -1 -1 PASSIVE
//High Level Fire Giant
46 - 30 -1 -1 -1 4 1 60 8 MELEE -1 -1 PASSIVE
//High Chronozon
47 - 20 -1 -1 -1 5 1 60 15 MELEE -1 -1 PASSIVE
//High Agrith Naar
48 - 400 -1 -1 -1 5 1 60 50 MELEE -1 -1 PASSIVE
//Party Demon
49 - 1150 6562 6563 6564 5 1 60 118 MELEE -1 -1 AGRESSIVE
//TokHaar-Ket champion
50 - 2400 17782 17779 17780 5 3 60 254 SPECIAL -1 -1 AGRESSIVE
//Grifolapine
51 - 1600 13151 13154 13153 5 1 60 213 SPECIAL -1 -1 AGRESSIVE
//Grifolaroo
52 - 510 -1 -1 -1 5 1 60 60 MELEE -1 -1 AGRESSIVE
//Infested Axe
